번호,주소,비고,맞춤번호
1,양산시 소주동 1242-4,0706E304 소공34L4,10
2,양산시 소주동 1242-4,0706E302 소공34L6,11
3,양산시 평산동 305-1,0704C36Z 평산19R4R3H1,12
4,양산시 삼호동 151-4,0806E525 용일18R18L5R2,2
5,양산시 삼호동 178-8,0806G075 시명10L3R8L1,3
6,양산시 용당동 1132,0807D162 죽전선4L13,9
7,양산시 용당동 1147-9,0807C764 죽전선4L18A2B5,8
8,양산시 대운8길 14-4,0806D871 시명10L3R6,1
9,양산시 삼호동 846-36,0806G272 시명10L7R5L3,4
10,양산시 삼호동 846-36,0806G261 시명10L7R5L4,5
11,양산시 대운9길 13-20,0806E432 용일18R18L4R2,6
12,양산시 평산동 삼성명가 정자옆,평일동 43-4,14
13,양산시 평산동 산25-10,0605X352 덕계27R44,13
14,양산시 용당동 1087-14,죽전선11R6호,7
15,양산시 주진동 459-3,운하40L10L2L1,15
